feature,catboost,mean_importance,max_importance,min_importance,std_importance,vote_count,rank,cumulative_mean
bb_lower_lag2,0.10467097204232437,0.10467097204232437,0.10467097204232437,0.10467097204232437,,0,134,96.04972223803338
ma_long_lag2,0.10369855112929728,0.10369855112929728,0.10369855112929728,0.10369855112929728,,0,135,96.15342078916268
tp_sma,0.10281911931782073,0.10281911931782073,0.10281911931782073,0.10281911931782073,,0,136,96.2562399084805
insider_sell_at_high,0.10248406037214454,0.10248406037214454,0.10248406037214454,0.10248406037214454,,0,137,96.35872396885264
stoch_d_lag3,0.09995152389321674,0.09995152389321674,0.09995152389321674,0.09995152389321674,,0,138,96.45867549274585
apo,0.09396812143035822,0.09396812143035822,0.09396812143035822,0.09396812143035822,,0,139,96.55264361417622
low,0.09271400843090216,0.09271400843090216,0.09271400843090216,0.09271400843090216,,0,140,96.64535762260712
bb_upper_lag2,0.08960366723502391,0.08960366723502391,0.08960366723502391,0.08960366723502391,,0,141,96.73496128984215
psar,0.08958511254613719,0.08958511254613719,0.08958511254613719,0.08958511254613719,,0,142,96.82454640238828
open,0.08942382249695403,0.08942382249695403,0.08942382249695403,0.08942382249695403,,0,143,96.91397022488523
insider_buy_unusual_90,0.08298859038493399,0.08298859038493399,0.08298859038493399,0.08298859038493399,,0,144,96.99695881527016
aroon_up,0.08235112928988655,0.08235112928988655,0.08235112928988655,0.08235112928988655,,0,145,97.07930994456005
mfi_lag3,0.08008103995468527,0.08008103995468527,0.08008103995468527,0.08008103995468527,,0,146,97.15939098451474
macd_histogram_lag2,0.07850494915194786,0.07850494915194786,0.07850494915194786,0.07850494915194786,,0,147,97.23789593366669
momentum_20d,0.07629230509775052,0.07629230509775052,0.07629230509775052,0.07629230509775052,,0,148,97.31418823876444
bb_middle_lag3,0.0746028457450014,0.0746028457450014,0.0746028457450014,0.0746028457450014,,0,149,97.38879108450945
bb_lower_lag1,0.07194779388839113,0.07194779388839113,0.07194779388839113,0.07194779388839113,,0,150,97.46073887839783
stddev_lag2,0.07073636841966564,0.07073636841966564,0.07073636841966564,0.07073636841966564,,0,151,97.5314752468175
stoch_d_lag5,0.06793764395142533,0.06793764395142533,0.06793764395142533,0.06793764395142533,,0,152,97.59941289076892
macd_change_1d,0.06649931042438395,0.06649931042438395,0.06649931042438395,0.06649931042438395,,0,153,97.66591220119331
momentum_10d_lag5,0.0659007329115485,0.0659007329115485,0.0659007329115485,0.0659007329115485,,0,154,97.73181293410485
daily_return,0.06549571000934146,0.06549571000934146,0.06549571000934146,0.06549571000934146,,0,155,97.7973086441142
ma_long_lag1,0.06497283712316317,0.06497283712316317,0.06497283712316317,0.06497283712316317,,0,156,97.86228148123736
momentum_10d_lag2,0.06348059118502637,0.06348059118502637,0.06348059118502637,0.06348059118502637,,0,157,97.92576207242239
stock_vs_spy_5d_lag3,0.06325876965826878,0.06325876965826878,0.06325876965826878,0.06325876965826878,,0,158,97.98902084208065
high,0.06298570524911698,0.06298570524911698,0.06298570524911698,0.06298570524911698,,0,159,98.05200654732977
insider_sell_when_up,0.0628314009866526,0.0628314009866526,0.0628314009866526,0.0628314009866526,,0,160,98.11483794831642
close_lag2,0.060475344394521804,0.060475344394521804,0.060475344394521804,0.060475344394521804,,0,161,98.17531329271094
